Job Title,Company,Location,Job Type,Date Posted,Job Link,Company Email
Java Developer,Gracemark,"Pune, Maharashtra",N/A,N/A,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D4UxdV5JzaEOg8ZYZhEVgzi52ExVzdta2XSc8IG99gN9WA6xLtwPQOsHHP5U5pJbJsG5iaJybs-rcoQ9TwbN_ldHdwsVNMEhwT92jnleABQKRniIiAlI6ac_myrON64gDO0A9nV3NYuzz0mqrsfazAah_diRoUYeQpu-vZWXy82Zdt5Ly0zrG-9N0-p2MbSndmnhFdDg3hfk9L34EFKTBn00jgfzWcDV-6WUCZxUqEp7phz4z6Y0LLr5Y0NUp7Ja8kUFTrkUKZOJNDAVO-x4henvHiJUQh_vQvLszXAkQ-w7VHlrhjhzmoTusd6oyfNVI7dQPipQaXvEmphUU1SDT7YwpfEtJIjWeP9JdXEzobo0cIDftR1jd4tL1tmib7BpTNBnQdxu1oTYNU-7o3a4xSf9a3fkRRb18RM_sUr5Fy6xYxHuDcarVWkhpCRMW9ECdHctGibrHkyMZr_cwKpZ0DHZJcN5aoY1wLIpthY2l4dRnNsnsLyOaS7SUbx8ucEOgTF48gFySHEbyH5G7ycnk9vmORRvM-nY9oIrV041PYCv1eLzL57TVJo_CbQ0bs_5x6loBFz317soZLx05ag7APDDLw_djDLj0rujUkLSD73qCYkcF3jdDTh0MCrpH2y6SFDz3NUz85r26KSkSeEBMI-v226PqEbeofEriRaQ7DMVEa3YgZoxkh&xkcb=SoBA6_M3mYtsuaTCUx0LbzkdCdPP&camk=UoKtGZLa3XIF1hFBoIkPWA==&p=0&fvj=0&vjs=3,corpmark@gracemarksolutions.com
Software Developer,SpringerNature,"Pune, Maharashtra",N/A,N/A,https://in.indeed.com/rc/clk?jk=a8feb13bd688c3be&bb=yQwHPmY7UtGbhsjINuW7erfvqBkJrujRX2rYa3BJ27NUEA6Im6ww9-wFyYg-0BCfu2D7BGjDxvfuZfrx8leIcyRsRaHCCg1CqUwXRGhPeVRAnweQhZlIQj4979BHfy15WarKagaIMhLTWnVZE4Z90HCsds2vSIjs&xkcb=SoAA67M3mYtsuaTCUx0KbzkdCdPP&fccid=46b8b385ec9427c3&vjs=3,vineet.loonker@springernature.com
Software Engineer – Full Stack,Scan-IT,"Hybrid work in Pune, Maharashtra",N/A,N/A,https://in.indeed.com/rc/clk?jk=baf1bf11e893e86c&bb=yQwHPmY7UtGbhsjINuW7emTo26de2rV0kjvNb_74F8JtvOJLwaOfOp26CGNQtQyRw1LcEPWiAbtGqI5CqjEiT12mJhAkwsSvlS70LSH4viMThQB8zylR75JNkFxE9vOI0MrnyVmiB8SmiVqyI3wd8xHRvSm6GGyb&xkcb=SoCd67M3mYtsuaTCUx0JbzkdCdPP&fccid=abdb65f0afb105ca&vjs=3,cs@nexdigm.com
Java Backend Developer,Particle41,"Pune, Maharashtra",N/A,N/A,https://in.indeed.com/rc/clk?jk=f5dd6fe2df5a12f5&bb=yQwHPmY7UtGbhsjINuW7ehchoPD5pbIyK6W8p1VZDQx4EpPRQtbWb0Zy-H3eh_BdxBqG1ixb8Hp1iB48ipn1QqcxfGbXGJQZV-k56Wy-GtdNp5p-miVEaasxpP6BXLU7Wum6Xj2rzn7BrwbUzwjBo-XmdZEDp3OI&xkcb=SoAp67M3mYtsuaTCUx0IbzkdCdPP&fccid=a1055723029ea860&vjs=3,info@particle41.com
"Associate Software Engineer, Onboarding",FlexTrade,"Pune, Maharashtra",N/A,N/A,https://in.indeed.com/rc/clk?jk=12b9e4d410561017&bb=yQwHPmY7UtGbhsjINuW7esX54hKb0-UGAzd6PHM9cH0djLdtngTHow89lhZnT4qCC8enKg1avcHj7yk2ZRwVzRt263SvWCwDWqnevfG8mRvpiU0yZb9Zj4tYAc3uHpQkjbhhEZEKkZr9ksMkjW-MpZCKw-xYAN0t&xkcb=SoCn67M3mYtsuaTCUx0PbzkdCdPP&fccid=99056b4a24e78613&vjs=3,sales@flextrade.com
"Software Engineer, Backend",DoorDash India,"Remote in Pune, Maharashtra",N/A,N/A,https://in.indeed.com/rc/clk?jk=5aa90e2b45cfa2b8&bb=yQwHPmY7UtGbhsjINuW7emuvpBjT-0Uu9FfTK6Aaq01PaYNpdcmYSIEsK4qnylNDAXH4QZpoukjTwUiMyzXGJY4DM3523uffJI0wDW4bFsvFB59Pv58iHR1-RqF4vIFYRsga2y7ovhywbisIcFzkiB0Nsy67wo43&xkcb=SoAT67M3mYtsuaTCUx0ObzkdCdPP&fccid=76366595bc03b751&vjs=3,sagar.ganoo@doordash.com
Core Java Developer - Pune,Actian Corporation,"Pune, Maharashtra",N/A,N/A,https://in.indeed.com/rc/clk?jk=56f612ffd52b4d6c&bb=yQwHPmY7UtGbhsjINuW7egRlIsUdeTV27HbEz3mhEBTrE7ZCKDHq_yz1S031Ub7zuvlSTAhwaTRBPExNLhSrpLKF7FLkLI3V5WM38KbIsctiPbTo0PG-nbIerECpVHp4-5ehHGxhiKLqsbssKhkh_bJ4ErPJWdgW&xkcb=SoCO67M3mYtsuaTCUx0NbzkdCdPP&fccid=b84a27fb1593ea43&vjs=3,sales@actian.com
Python + React,Hitachi Solutions,"Pune, Maharashtra",N/A,N/A,https://in.indeed.com/rc/clk?jk=bd2f0483cde03285&bb=yQwHPmY7UtGbhsjINuW7eg_DIUy606LWPILVoVzMA44ZUW9mBTXnOCe9zQUfxLhvk1sdOYYOrBUhHWwAfSeBE0eQlJSM3GEVeClh3VHj4VuZk74nplbUh4YWGcmXBF5aQsK_cRzXx-izKtrFrufnzUAEndz-2fsB&xkcb=SoA667M3mYtsuaTCUx0MbzkdCdPP&fccid=e4ae1383314c34d1&vjs=3,asadaphule@hitachisolutions.com
Java Microservice,Saaki Argus & Averil Consulting,"Pune, Maharashtra",N/A,N/A,https://in.indeed.com/rc/clk?jk=aca849cd7fc083b6&bb=yQwHPmY7UtGbhsjINuW7etu98jsSc1oXEIZkQcnoAt4HGJEYas-hqccZb_Bo-u-l5EXuVaq8wzQ7e6yF1h68AlETxfKnDtWrcFjBvk4c1XEyYlfais5MwPLXq-bVuyaodlPcTHNdnQlFh9U5yYwRm_ZCKga95WM5&xkcb=SoDT67M3mYtsuaTCUx0DbzkdCdPP&fccid=282ba7a67557b5b3&vjs=3,info@saaconsulting.co.in
Software Developer - WiFi,Arista Networks,"Pune, Maharashtra",N/A,N/A,https://in.indeed.com/rc/clk?jk=ca79e69121596672&bb=yQwHPmY7UtGbhsjINuW7etwHTJERCIq-CylC_8IFh6u78H5yot6qr3m1XU5cHiEpMxmNJ5qqqKwsh2layFjAXzK5R4eWnq80qB2SIut9HocSt3bIl0Lp2GsuI0toMmfnTmyF45qoKT-FVf6mUSf4G2Mv_aNMtrnF&xkcb=SoBn67M3mYtsuaTCUx0CbzkdCdPP&fccid=da9c8368867819c9&vjs=3,info@arista.com
