Job Title,Company,Company Profile,Location,Job Type,Date Posted (Parsed),Job Link,Company Email
SOFTWARE TESTER,Photojaanic,https://startupgoa.org/company/Photojaanic/,Mapusa,FREELANCE,2026-01-28,https://startupgoa.org/job/photojaanic-mapusa-goa-freelance-software-tester/,N/A
BACKEND DEVELOPER (NODE.JS),Upfound AI,https://startupgoa.org/company/Upfound%20AI/,Porvorim,FULL-TIME,2026-01-28,https://startupgoa.org/job/upfound-ai-porvorim-full-time-backend-developer-node-js/,N/A
JUNIOR DEVELOPER INTERN,SPARK+ Technologies,https://startupgoa.org/company/SPARK%2B%20Technologies/,Panjim,INTERNSHIP,2026-01-28,https://startupgoa.org/job/spark-technologies-internship-junior-developer-intern/,N/A
APPLICATION SUPPORT EXECUTIVE,RV Solutions,https://startupgoa.org/company/RV%20Solutions/,Mapusa,FULL-TIME,2026-01-28,https://startupgoa.org/job/rv-solutions-goa-full-time-application-support-executive/,N/A
"JUNIOR FULL STACK DEVELOPER (JAVA,REACT)",StoreBuilder,https://startupgoa.org/company/StoreBuilder/,Panjim,FULL-TIME,2026-01-28,https://startupgoa.org/job/storebuilder-remote-full-time-junior-full-stack-developer-java/,N/A
TECHNICAL SUPPORT ASSOCIATE,RV Solutions,https://startupgoa.org/company/RV%20Solutions/,Mapusa,FULL-TIME,2025-12-28,https://startupgoa.org/job/rv-solutions-goa-full-time-technical-support-associate/,N/A
JUNIOR DEVELOPER INTERN,SPARK+ Technologies,https://startupgoa.org/company/SPARK%2B%20Technologies/,Panjim,INTERNSHIP,2025-12-28,https://startupgoa.org/job/spark-technologies-goa-internship-junior-developer-intern/,N/A
SENIOR PYTHON ARCHITECT,Numino Labs Pvt Ltd,https://startupgoa.org/company/Numino%20Labs%20Pvt%20Ltd/,Verna,FULL-TIME,2025-11-28,https://startupgoa.org/job/numino-labs-pvt-ltd-verna-goa-full-time-senior-python-architect/,N/A
PYTHON ARCHITECT,Numino Labs Pvt Ltd,https://startupgoa.org/company/Numino%20Labs%20Pvt%20Ltd/,Verna,FULL-TIME,2025-11-28,https://startupgoa.org/job/numino-labs-pvt-ltd-goa-full-time-python-architect/,N/A
FIRMWARE DEVELOPER,Spintly India Private Ltd.,https://startupgoa.org/company/Spintly%20India%20Private%20Ltd./,Margao,FULL-TIME,2025-11-28,https://startupgoa.org/job/spintly-india-private-ltd-goa-full-time-firmware-developer/,N/A
SENIOR PYTHON ENGINEER,Tatvartha WealthNest AI Pvt Ltd,https://startupgoa.org/company/Tatvartha%20WealthNest%20AI%20Pvt%20Ltd/,Mapusa,FULL-TIME,2025-10-28,https://startupgoa.org/job/tatvartha-wealthnest-ai-pvt-ltd-remote-full-time-senior-python-engineer/,N/A
QUALITY ANALYST,Spintly India Pvt Ltd,https://startupgoa.org/company/Spintly%20India%20Pvt%20Ltd/,Margao,FULL-TIME,2025-10-28,https://startupgoa.org/job/spintly-india-pvt-ltd-fatorda-full-time-quality-analyst/,N/A
IT INTERNSHIP,Maya HR Solutions,https://startupgoa.org/company/Maya%20HR%20Solutions/,Other,INTERNSHIP,2025-10-28,https://startupgoa.org/job/maya-hr-solutions-sanquelim-internship-it-internship/,N/A
BACKEND DEVELOPER,Tentwenty Digital,https://startupgoa.org/company/Tentwenty%20Digital/,Porvorim,FULL-TIME,2025-09-28,https://startupgoa.org/job/tentwenty-digital-goa-full-time-backend-developer/,N/A
FRONTEND DEVELOPER,Tentwenty Digital,https://startupgoa.org/company/Tentwenty%20Digital/,Porvorim,FULL-TIME,2025-09-28,https://startupgoa.org/job/tentwenty-digital-goa-full-time-frontend-developer/,N/A
BACKEND DEVELOPER,Thalus Technologies Private Limited,https://startupgoa.org/company/Thalus%20Technologies%20Private%20Limited/,Margao,FULL-TIME,2025-09-28,https://startupgoa.org/job/thalus-technologies-private-limited-goa-india-full-time-backend-developer/,N/A
CYBERSECURITY CONSULTANT / ENGINEER (3–5 YEARS OF EXPERIENCE),Globalminds Ltd,https://startupgoa.org/company/Globalminds%20Ltd/,Panjim,FULL-TIME,2025-09-28,https://startupgoa.org/job/globalminds-ltd-panaji-full-time-cybersecurity-consultant-engineer-3-5-years-of-experience/,N/A
JUNIOR CYBERSECURITY CONSULTANT / ENGINEER,Globalminds Ltd,https://startupgoa.org/company/Globalminds%20Ltd/,Panjim,FULL-TIME,2025-09-28,https://startupgoa.org/job/globalminds-ltd-panaji-full-time-junior-cybersecurity-consultant-engineer/,N/A
PHP DEVELOPER – WFH,WebFills,https://startupgoa.org/company/WebFills/,Margao,FULL-TIME,2025-08-28,https://startupgoa.org/job/webfills-work-from-home-full-time-php-developer-wfh/,N/A
SOFTWARE DEVELOPMENT ENGINEER (FULL STACK),Rescape Technologies Private Limited,https://startupgoa.org/company/Rescape%20Technologies%20Private%20Limited/,Margao,FULL-TIME,2025-08-28,https://startupgoa.org/job/rescape-technologies-private-limited-south-goa-full-time-software-development-engineer-full-stack/,N/A
FULL-STACK DEVELOPER,Goldu Private Limited,https://startupgoa.org/company/Goldu%20Private%20Limited/,Panjim,FULL-TIME,2025-08-28,https://startupgoa.org/job/goldu-private-limited-goa-full-time-full-stack-developer/,N/A
GEN AI ENGINEER,Mclaren Strategic Solutions,https://startupgoa.org/company/Mclaren%20Strategic%20Solutions/,Panjim,FULL-TIME,2025-07-28,https://startupgoa.org/job/mclaren-strategic-solutions-full-time-gen-ai-engineer/,N/A
NODEJS BACKEND DEVELOPER – GOA,New Vision Group Holding P. Ltd.,https://startupgoa.org/company/New%20Vision%20Group%20Holding%20P.%20Ltd./,Mapusa,FULL-TIME,2025-07-28,https://startupgoa.org/job/new-vision-group-holding-p-ltd-full-time-nodejs-backend-developer-goa/,N/A
BACKEND DEVELOPER,Photojaanic,https://startupgoa.org/company/Photojaanic/,Mapusa,FULL-TIME,2025-07-28,https://startupgoa.org/job/photojaanic-mapusa-hybrid-full-time-backend-developer/,N/A
PYTHON DEVELOPER,Goldu Private Limited,https://startupgoa.org/company/Goldu%20Private%20Limited/,Panjim,FULL-TIME,2025-07-28,https://startupgoa.org/job/goldu-private-limited-goa-full-time-python-developer/,N/A
