Job Title,Company,Location,Job Type,Date Posted,Job Link
BUSINESS DEVELOPMENT EXECUTIVE,SPARK+ Technologies,Margao,FULL-TIME,Posted 4 days ago,https://startupgoa.org/job/spark-technologies-full-time-business-development-executive-2/
MARCOM CONTENT STRATEGY & CREATIVE PRODUCTION,The Grit City,Panjim,INTERNSHIP,Posted 5 days ago,https://startupgoa.org/job/the-grit-city-goa-internship-marcom-content-strategy-creative-production/
SALES EXECUTIVE,Tangentia,Porvorim,FULL-TIME,Posted 5 days ago,https://startupgoa.org/job/tangentia-porvorim-full-time-sales-executive/
SERVICE ENGINEERS,Caculo Earthmovers,Verna,FULL-TIME,Posted 6 days ago,https://startupgoa.org/job/caculo-earthmovers-panaji-full-time-service-engineers/
BODYSHOP TEAMLEADER,Caculo Honda,Verna,FULL-TIME,Posted 6 days ago,https://startupgoa.org/job/caculo-honda-verna-full-time-bodyshop-teamleader/
TECHNICIAN,Caculo Motors,Verna,FULL-TIME,Posted 6 days ago,https://startupgoa.org/job/caculo-motors-verna-full-time-technician/
FOOD & BEVERAGE ASSOCIATE,Caculo Hospitality LLP,Panjim,FULL-TIME,Posted 6 days ago,https://startupgoa.org/job/caculo-hospitality-llp-panaji-full-time-food-beverage-associate/
TRAINING MANAGER,Acacia Hotel & Spa Candolim,Calangute,FULL-TIME,Posted 1 week ago,https://startupgoa.org/job/acacia-hotel-spa-candolim-candolim-full-time-training-manager/
ACCOUNTS OFFICE – A TRAVEL TECH COMPANY,BTD,Panjim,FULL-TIME,Posted 2 weeks ago,https://startupgoa.org/job/btd-panjim-goa-full-time-accounts-office-a-travel-tech-company/
JR MARKETING NINJA ( DARE TO APPLY JOB ),DeeSolutions IT,Vasco,FULL-TIME,Posted 2 weeks ago,https://startupgoa.org/job/deesolutions-it-full-time-jr-marketing-ninja-dare-to-apply-job/
TECHNICAL SUPPORT ASSOCIATE,WebFills,Margao,FULL-TIME,Posted 2 weeks ago,https://startupgoa.org/job/webfills-margao-full-time-technical-support-associate-6/
SOFTWARE TESTER,Photojaanic,Mapusa,FREELANCE,Posted 3 weeks ago,https://startupgoa.org/job/photojaanic-mapusa-goa-freelance-software-tester/
SOUND / AV ENGINEER,Reynold Events and Promotions,Verna,FULL-TIME,Posted 3 weeks ago,https://startupgoa.org/job/reynold-events-and-promotions-goa-full-time-sound-av-engineer/
LIGHT ENGINEER,Reynold Events and Promotions,Verna,FULL-TIME,Posted 3 weeks ago,https://startupgoa.org/job/reynold-events-and-promotions-goa-full-time-light-engineer/
EVENT COORDINATOR,Reynold Events and Promotions,Verna,FULL-TIME,Posted 3 weeks ago,https://startupgoa.org/job/reynold-events-and-promotions-goa-full-time-event-coordinator/
SALES EXECUTIVE,Reynold Events and Promotions,Verna,FULL-TIME,Posted 3 weeks ago,https://startupgoa.org/job/reynold-events-and-promotions-goa-full-time-sales-executive-2/
SEO INTERN,SPARK+ Technologies,Margao,INTERNSHIP,Posted 3 weeks ago,https://startupgoa.org/job/spark-technologies-remote-internship-seo-intern/
BACKEND DEVELOPER (NODE.JS),Upfound AI,Porvorim,FULL-TIME,Posted 3 weeks ago,https://startupgoa.org/job/upfound-ai-porvorim-full-time-backend-developer-node-js/
ADMIN & OPERATIONS COORDINATOR,Big Little Feelings,Porvorim,FULL-TIME,Posted 4 weeks ago,https://startupgoa.org/job/big-little-feelings-porvorim-full-time-admin-operations-coordinator/
OPERATIONS ADVISOR,AdvantEdge Advisory,Other,FREELANCE,Posted 4 weeks ago,https://startupgoa.org/job/advantedge-advisory-freelance-operations-advisor/
RECRUITMENT OFFICER,Black Tiger Security Agency,Margao,FULL-TIME,Posted 4 weeks ago,https://startupgoa.org/job/black-tiger-security-agency-margao-full-time-recruitment-officer/
SALES OPERATIONS COORDINATOR,Origins And Horizons,Panjim,FULL-TIME,Posted 4 weeks ago,https://startupgoa.org/job/origins-and-horizons-panjim-full-time-sales-operations-coordinator/
MARKETING OFFICER,Black Tiger Security Agency,Margao,FULL-TIME,Posted 4 weeks ago,https://startupgoa.org/job/black-tiger-security-agency-margao-full-time-marketing-officer/
ADMIN EXECUTIVE,Black Tiger Security Agency,Margao,FULL-TIME,Posted 4 weeks ago,https://startupgoa.org/job/black-tiger-security-agency-margao-full-time-admin-executive/
FEMALE HR/RECEPTIONIST,Black Tiger Security Agency,Mapusa,FULL-TIME,Posted 4 weeks ago,https://startupgoa.org/job/black-tiger-security-agency-mapusa-full-time-female-hr-receptionist/
BACK OFFICE EXECUTIVE – OPERATIONS,Jobs for Goan,Panjim,FULL-TIME,Posted 4 weeks ago,https://startupgoa.org/job/jobs-for-goan-miramar-full-time-back-office-executive-operations/
TRAINING SPECIALIST,Jobs for Goan,Porvorim,FULL-TIME,Posted 4 weeks ago,https://startupgoa.org/job/jobs-for-goan-porvorim-full-time-training-specialist/
CLIENT INVOICING SPECIALIST,Jobs for Goan,Porvorim,FULL-TIME,Posted 4 weeks ago,https://startupgoa.org/job/jobs-for-goan-porvorim-full-time-client-invoicing-specialist/
CONTENT CREATOR,Cleverhat Studios,Other,FULL-TIME,Posted 4 weeks ago,https://startupgoa.org/job/cleverhat-studios-hyderabad-full-time-content-creator/
RESERVATION ASSOCIATE,Acacia Hotel & Spa Candolim,Calangute,FULL-TIME,Posted 1 month ago,https://startupgoa.org/job/acacia-hotel-spa-candolim-candolim-full-time-reservation-associate/
FRONT OFFICE SUPERVISOR / ASSOCIATE,Acacia Hotel & Spa Candolim,Calangute,FULL-TIME,Posted 1 month ago,https://startupgoa.org/job/acacia-hotel-spa-candolim-candolim-full-time-front-office-supervisor-associate/
RESERVATION EXECUTIVE,Acacia Hotel & Spa Candolim,Calangute,FULL-TIME,Posted 1 month ago,https://startupgoa.org/job/acacia-hotel-spa-candolim-candolim-full-time-reservation-executive/
JUNIOR DEVELOPER INTERN,SPARK+ Technologies,Panjim,INTERNSHIP,Posted 1 month ago,https://startupgoa.org/job/spark-technologies-internship-junior-developer-intern/
BUSINESS DEVELOPMENT EXECUTIVE,SPARK+ Technologies,Panjim,FULL-TIME,Posted 1 month ago,https://startupgoa.org/job/spark-technologies-full-time-business-development-executive/
